"lemma","poscode","surface"
"no evidence","0","no evidence"
"evidence","3","evidence"
"result","3","result","results"
"examines","2","examines","examine"
"study","2","study"
"find","2","find","finding","findings","found"
"discuss","2","discuss"
"analyze","2","analyze","analyzes","analyse","analyses"
"suggest","2","suggest","suggests"
"argue","2","argue"
"explore","2","explore"
"explore","2","explore","explores"
"present","2","present"
"identify","2","identify"
"document","2","document"
"estimate","2","estimate","estimates"
"assess","2","assess"
"establish","2","establish"
"focuses on","3","focuses on"
"conclude","3","conclude","conclusion"
"show","2","show"
