"lemma","poscode","surface"
"increase","2","increase","increases","greater","increasing","increase in","increase of","increased"
"decrease","2","decrease","decreases","reduce","reduces","decreased"
"relate","2","relate","related","related to"
"correlation","2","correlation","correlated with"
"effect on","3","effect on","effects on"
"affect","2","affect","affected by","affected"
"higher","4","higher"
"relation between","3","relation between"
"connection between","3","connection between"
"link between","3","link between","links between","link"
"impact of","3","impact of"
"caused by","2","caused by"
"contributing to","3","contributing to","contributing","contributes to"
"impact on","3","impact on"
"explained by","3","explained by"
"driven by","3","driven by"
"result in","3","result in"
"impact on","3","impact on"
"greater","3","greater"
"lower","3","lower"
"depends on","3","depends on"
"associated with","3","associated with"
"effect of","3","effect of"
"changes in","3","changes in"
"limited effect","3","limited effect"
"no effect","3","no effect"
"attributed to","2","attributed to"
"effect","3","effect"
"driver","3","driver","key driver","drivers"
"trend of","3","trend of"
"raise","2","raise","raising"
"rise","2","rise","rising","rise in"
"account for","3","account for"
"lack of","3","lack of"
"weakening","3","weakening"
"significant role","3","significant role"
"role in","3","role in"
"less","3","less"
"reduction in","3","reduction in"
"boost","3","boost"
"drop in","3","drop in"
"determinant of","3","determinant of"
"exacerbated","3","exacerbated"
"influence on","3","influence on"
"declines with","2","declines with"
